Stethoscope	ECG
0.0305176	-0.202637
0.0115967	-0.236206
-0.0744629	-0.252075
-0.18158	-0.252991
-0.207214	-0.242615
-0.137634	-0.22522
-0.0695801	-0.204773
-0.100098	-0.186157
-0.160828	-0.172729
-0.0946045	-0.155945
0.158081	-0.1297
0.483093	-0.098877
0.698547	-0.0686646
0.71228	-0.0408936
0.540161	-0.0167847
0.233154	0.00213623
-0.152283	0.0158691
-0.525208	0.0231934
-0.745239	0.022583
-0.735168	0.0152588
-0.517883	0.00305176
-0.19043	-0.0143433
0.108337	-0.0335693
0.258484	-0.050354
0.245361	-0.0628662
0.158081	-0.0692749
0.0927734	-0.0708008
0.0863647	-0.0656128
0.140076	-0.055542
0.222778	-0.0421143
0.274048	-0.0286865
0.205994	-0.0186157
-0.0146484	-0.0134277
-0.322266	-0.0143433
-0.581055	-0.0228882
-0.676575	-0.0378418
-0.567322	-0.0524902
-0.289917	-0.0665283
0.0662231	-0.0854492
0.386047	-0.0991821
0.577087	-0.0982666
0.586853	-0.0860596
0.424805	-0.0680542
0.167847	-0.0463867
-0.0717163	-0.0219727
-0.205383	0.00335693
-0.223694	0.0228882
-0.151062	0.0350952
-0.0283813	0.0402832
0.0888062	0.0393677
0.160217	0.0335693
0.1651	0.0234985
0.110168	0.0088501
0.0213623	-0.00823975
-0.0375366	-0.0238037
-0.0485229	-0.032959
-0.0668335	-0.03479
-0.135498	-0.0341797
-0.209961	-0.0338745
-0.0878906	-0.0314331
0.35614	-0.0256348
0.254517	-0.0189209
-0.406494	-0.0125122
-0.977173	-0.00732422
-0.826416	-0.00579834
-0.1297	-0.00610352
0.478821	-0.00671387
0.707703	-0.00915527
0.653992	-0.0134277
0.510864	-0.0204468
0.330811	-0.0296021
0.134888	-0.038147
-0.0344849	-0.038147
-0.142517	-0.0302124
-0.194092	-0.0204468
-0.210266	-0.0143433
-0.19928	-0.012207
-0.150452	-0.0109863
-0.0799561	-0.00823975
-0.0469971	-0.0012207
-0.0454712	0.00610352
-0.0415039	0.00976563
-0.0216675	0.00488281
0.0088501	-0.00518799
0.0418091	-0.00793457
0.067749	0
0.067749	0.0161743
0.0234985	0.0344849
-0.0415039	0.0485229
-0.0689697	0.0585938
-0.045166	0.0704956
-0.00366211	0.0854492
0.0183105	0.0970459
0.00213623	0.0979614
-0.0360107	0.0888062
-0.0628662	0.0772095
-0.0631714	0.0744629
-0.0506592	0.0820923
-0.0460815	0.0924683
-0.0540161	0.100403
-0.0546265	0.106201
0.00549316	0.114136
0.0982666	0.127869
0.166016	0.147705
0.169678	0.168457
0.137024	0.183411
0.106506	0.19165
0.0744629	0.194397
0.0274658	0.192566
-0.0222778	0.187683
-0.0280762	0.180969
-0.0137329	0.173035
-0.0216675	0.164795
-0.0759888	0.154724
-0.09552	0.144348
-0.0457764	0.136108
0.0146484	0.128479
0.0119019	0.118713
-0.0363159	0.108337
-0.0668335	0.0967407
-0.0512695	0.0836182
0.000305176	0.0674438
0.0512695	0.0497437
0.0762939	0.038147
0.0665283	0.0338745
0.0448608	0.0323486
0.0274658	0.0308228
0.0131226	0.0302124
-0.00488281	0.0323486
-0.0180054	0.0366211
-0.0170898	0.0427246
-0.0161743	0.0491333
-0.0253296	0.0524902
-0.0415039	0.0512695
-0.0518799	0.0442505
-0.0466919	0.0338745
-0.0418091	0.0256348
-0.0488281	0.0180054
-0.0708008	0.00946045
-0.0750732	0.000610352
